Datum;Grund der Ausgabe;Betrag
30.12.2022;Kontoführungsgebühren;-10,38 €
28.12.2022;Überweisungkosten;-3,90 €
13.12.2022;1&1 Internetkosten;-11,81 €
30.11.2022;Kontoführungsgebühren;-5,48 €
29.11.2022;Überweisungkosten;-3,90 €
14.11.2022;1&1 Internetkosten;-11,81 €
31.10.2022;Kontoführungsgebühren;-5,36 €
27.10.2022;Überweisungkosten;-3,90 €
12.10.2022;1&1 Internetkosten;-11,81 €
30.09.2022;Kontoführungsgebühren;-5,80 €
27.09.2022;Überweisungkosten;-3,90 €
13.09.2022;1&1 Internetkosten;-11,81 €
31.08.2022;Kontoführungsgebühren;-6,00 €
29.08.2022;Überweisungkosten;-3,90 €
29.08.2022;Überweisungkosten;-3,90 €
12.08.2022;1&1 Internetkosten;-11,81 €
29.07.2022;Kontoführungsgebühren;-5,36 €
27.07.2022;Überweisungkosten;-3,90 €
12.07.2022;1&1 Internetkosten;-11,81 €
30.06.2022;Kontoführungsgebühren;-6,16 €
27.06.2022;Überweisungkosten;-3,90 €
14.06.2022;1&1 Internetkosten;-11,81 €
31.05.2022;Kontoführungsgebühren;-5,56 €
27.05.2022;Überweisungkosten;-3,90 €
12.05.2022;1&1 Internetkosten;-11,81 €
29.04.2022;Kontoführungsgebühren;-5,60 €
28.04.2022;Überweisungkosten;-3,90 €
19.04.2022;Kosten Zoom;-166,48 €
12.04.2022;1&1 Internetkosten;-11,81 €
31.03.2022;Kontoführungsgebühren;-8,22 €
28.03.2022;Überweisungkosten;-3,90 €
14.03.2022;1&1 Internetkosten;-11,81 €
14.03.2022;Überweisungskosten;-3,90 €
28.02.2022;Kontoführungsgebühren;-5,36 €
28.02.2022;Überweisungkosten;-3,90 €
16.02.2022;Girokarte;-10,00 €
14.02.2022;1&1 Internetkosten;-11,81 €
31.01.2022;Kontoführungsgebühren;-6,20 €
27.01.2022;Überweisungkosten;-3,90 €
19.01.2022;Überweisungkosten;-3,90 €
13.01.2022;WISO Mein Verein SW;-153,51 €
12.01.2022;1&1 Internetkosten;-4,00 €
03.01.2022;Überweisungkosten;-3,90 €
