Datum;Grund der Ausgabe;Betrag
27.12.2023;Weihnachtsfeier Mbouda;-350,00 €
27.12.2023;Brunnen: Wartung;-152,00 €
27.12.2023;Weihnachtsfeier Waisenhaus;-300,00 €
27.12.2023;med. Versorgung Rodanice;-35,00 €
27.12.2023;med. Versorgung Bertin;-35,00 €
27.12.2023;1 warme Mahlzeit Januar 2024;-2.005,00 €
27.11.2023;med. Versorgung Rodanice;-35,00 €
27.11.2023;med. Versorgung Bertin;-35,00 €
27.11.2023;1 warme Mahlzeit Dezember 2023;-2.005,00 €
26.10.2023;med. Versorgung Rodanice;-35,00 €
26.10.2023;med. Versorgung Bertin;-35,00 €
26.10.2023;1 warme Mahlzeit November 2023;-2.005,00 €
26.09.2023;Brunnen: Wartung;-152,00 €
26.09.2023;Zahnpflege;-150,00 €
26.09.2023;med. Versorgung Rodanice;-35,00 €
26.09.2023;med. Versorgung Bertin;-35,00 €
26.09.2023;1 warme Mahlzeit Oktober 2023;-2.005,00 €
28.08.2023;Kleidung;-2.000,00 €
28.08.2023;Schulgeld;-2.841,00 €
28.08.2023;med. Versorgung Rodanice;-35,00 €
28.08.2023;med. Versorgung Bertin;-35,00 €
28.08.2023;1 warme Mahlzeit September 2023;-2.005,00 €
28.07.2023;med. Versorgung Rodanice;-35,00 €
28.07.2023;med. Versorgung Bertin;-35,00 €
28.07.2023;1 warme Mahlzeit August 2023;-2.005,00 €
28.06.2023;Brunnen: Wartung;-152,00 €
28.06.2023;med. Versorgung Rodanice;-35,00 €
28.06.2023;med. Versorgung Bertin;-35,00 €
28.06.2023;1 warme Mahlzeit Juli 2023;-2.005,00 €
16.06.2023;Goethe Institut - Dounfouo;-121,96 €
30.05.2023;Nutztiere;-877,00 €
30.05.2023;3. Brunner: 3. Abschlagszahlung;-2.000,00 €
30.05.2023;med. Versorgung Rodanice;-35,00 €
30.05.2023;med. Versorgung Bertin;-35,00 €
30.05.2023;1 warme Mahlzeit Juni 2023;-2.005,00 €
03.05.2023;Mehrkosten 3. Brunnen;-1.500,00 €
03.05.2023;med. Versorgung Rodanice;-35,00 €
03.05.2023;med. Versorgung Bertin;-35,00 €
03.05.2023;1 warme Mahlzeit Mai 2023;-2.005,00 €
03.05.2023;Retoure - Kontowechsel;-270,00 €
02.05.2023;Werbebanner;-365,00 €
26.04.2023;Nutztiere;-4.123,00 €
26.04.2023;Unterstützung Waisenhaus;-2.000,00 €
26.04.2023;3. Brunner: 2. Abschlagszahlung;-1.500,00 €
26.04.2023;Brunnen: Wartung;-152,00 €
26.04.2023;Zahnhygiene;-150,00 €
26.04.2023;med. Versorgung Rodanice;-35,00 €
26.04.2023;med. Versorgung Bertin;-35,00 €
26.04.2023;1 warme Mahlzeit April 2023;-2.005,00 €
28.03.2023;Kleidung;-2.000,00 €
28.03.2023;Schulgeld;-2.841,00 €
28.03.2023;med. Versorgung Rodanice;-35,00 €
28.03.2023;med. Versorgung Bertin;-35,00 €
28.03.2023;Neuer Versuch Western Union: 1 warme Mahlzeit März 2023;-2.005,00 €
21.03.2023;Kleidung;2.000,00 €
21.03.2023;Schulgeld;2.841,00 €
21.03.2023;med. Versorgung Rodanice;35,00 €
21.03.2023;med. Versorgung Bertin;35,00 €
21.03.2023;Rücküberweisung: Probleme mit Western Union;2.005,00 €
28.02.2023;Kleidung;-2.000,00 €
28.02.2023;Schulgeld;-2.841,00 €
28.02.2023;med. Versorgung Rodanice;-35,00 €
28.02.2023;med. Versorgung Bertin;-35,00 €
28.02.2023;1 warme Mahlzeit März 2023;-2.005,00 €
27.02.2023;Projekt Landwirtschaft;-5.000,00 €
20.02.2023;Notarrechnung;-74,47 €
02.02.2023;3. Brunnen: 2. Abschlag;-1.000,00 €
01.02.2023;3. Brunnen: 1. Abschlag;-2.000,00 €
31.01.2023;Ausbildung Landry (Zuviel);244,00 €
26.01.2023;Deutschkurs A2/B1 Diana;-534,00 €
26.01.2023;Ausbildung Landry;-244,00 €
26.01.2023;Ausbildung Landry;-244,00 €
26.01.2023;med. Versorgung Rodanice;-35,00 €
26.01.2023;med. Versorgung Bertin;-35,00 €
26.01.2023;1 warme Mahlzeit Februar 2023;-2.005,00 €
