Datum;Grund der Ausgabe;Betrag
04.03.2025;Kleidung;-2.000,00 €
04.03.2025;Ausbildung Cheila, Dadiane, Blondelle;-150,00 €
04.03.2025;med. Versorgung Carles Christ + Cabrel Désiré;-30,00 €
04.03.2025;1 warme Mahlzeit März 2025;-2.005,00 €
29.01.2025;Schulgeld;-2.841,00 €
29.01.2025;Ausbildung Cheila, Dadiane, Blondelle;-150,00 €
29.01.2025;med. Versorgung Carles Christ + Cabrel Désiré;-30,00 €
29.01.2025;1 warme Mahlzeit Februar 2025;-2.005,00 €
30.12.2024;Weihnachtsfeier Mbouda;-400,00 €
30.12.2024;Brunnen: Wartung;-152,00 €
30.12.2024;Ausbildung Cheila, Dadiane, Blondelle;-150,00 €
30.12.2024;med. Versorgung Carles Christ + Cabrel Désiré;-30,00 €
30.12.2024;1 warme Mahlzeit Dezember 2024;-2.005,00 €
29.11.2024;Ausbildung Cheila, Dadiane, Blondelle;-150,00 €
29.11.2024;med. Versorgung Carles Christ + Cabrel Désiré;-30,00 €
29.11.2024;1 warme Mahlzeit Dezember 2024;-2.005,00 €
30.10.2024;Ausbildung Cheila, Dadiane, Blondelle;-150,00 €
30.10.2024;med. Versorgung Rodanice;-35,00 €
30.10.2024;med. Versorgung Carles Christ + Cabrel Désiré;-30,00 €
30.10.2024;1 warme Mahlzeit November 2024;-2.005,00 €
01.10.2024;Ausbildung Cheila, Dadiane, Blondelle;-150,00 €
01.10.2024;Deutschkurs Diana;-685,00 €
01.10.2024;Deutschkurs Marlene;-495,00 €
01.10.2024;Brunnen: Wartung;-152,00 €
01.10.2024;Zahnhygiene;-150,00 €
01.10.2024;med. Versorgung Rodanice;-35,00 €
01.10.2024;med. Versorgung Carles Christ + Cabrel Désiré;-30,00 €
01.10.2024;1 warme Mahlzeit Oktober 2024;-2.005,00 €
17.09.2024;Schulgeld;-2.841,00 €
17.09.2024;Kleidung;-2.000,00 €
17.09.2024;med. Versorgung Rodanice;-35,00 €
17.09.2024;med. Versorgung Carles Christ + Cabrel Désiré;-30,00 €
17.09.2024;1 warme Mahlzeit September 2024;-2.005,00 €
28.06.2024;med. Versorgung Rodanice;-35,00 €
28.06.2024;med. Versorgung Carles Christ + Cabrel Désiré;-30,00 €
28.06.2024;1 warme Mahlzeit August 2024 (2 Monate zusammen, um Überweisungskosten zu sparen);-2.005,00 €
28.06.2024;Brunnen: Wartung;-152,00 €
28.06.2024;med. Versorgung Rodanice;-35,00 €
28.06.2024;med. Versorgung Carles Christ + Cabrel Désiré;-30,00 €
28.06.2024;1 warme Mahlzeit Juli 2024;-2.005,00 €
20.06.2024;MUPECI P/C DIMENSION BTP SARL (Architekt);-3.846,00 €
21.05.2024;5. Brunnen: Anzahlung;-5.000,00 €
29.04.2024;med. Versorgung Rodanice;-35,00 €
29.04.2024;med. Versorgung Bertin;-35,00 €
29.04.2024;1 warme Mahlzeit Juni 2024 (2 Monate zusammen, um Überweisungskosten zu sparen);-2.005,00 €
29.04.2024;med. Versorgung Samuel;-560,00 €
29.04.2024;med. Versorgung Serena;-275,00 €
29.04.2024;med. Versorgung Rodanice;-35,00 €
29.04.2024;med. Versorgung Bertin;-35,00 €
29.04.2024;1 warme Mahlzeit Mai 2024;-2.005,00 €
17.04.2024;Zurück von Western Union;11.579,64 €
08.04.2024;Überweisungen von Western Union, die nicht nach Kamerun überwiesen wurden. Wird zurücküberwiesen…;-11.593,70 €
08.04.2024;Brunnen: Wartung;-152,00 €
08.04.2024;Umweltprojekt;-8.000,00 €
08.04.2024;Zahnhygiene;-150,00 €
08.04.2024;med. Versorgung Rodanice;-35,00 €
08.04.2024;med. Versorgung Bertin;-35,00 €
08.04.2024;1 warme Mahlzeit April 2024;-2.005,00 €
02.04.2024;Zurück von Western Union;152,00 €
02.04.2024;Zurück von Western Union;8.000,00 €
02.04.2024;Zurück von Western Union;150,00 €
02.04.2024;Zurück von Western Union;35,00 €
02.04.2024;Zurück von Western Union;35,00 €
28.03.2024;Zurück von Western Union;2.005,00 €
27.03.2024;Brunnen: Wartung;-152,00 €
27.03.2024;Umweltprojekt;-8.000,00 €
27.03.2024;Zahnhygiene;-150,00 €
27.03.2024;med. Versorgung Rodanice;-35,00 €
27.03.2024;med. Versorgung Bertin;-35,00 €
27.03.2024;1 warme Mahlzeit April 2024;-2.005,00 €
